Mineral,Descriptions,Rocks_type,Reference
Enstatite-Ferrosilite,"Enstatite-Ferrosilite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray or white to high order I; the maximum interference color is pale yellow of the first order. Extinction angle: Parallel / 0° / straight in longitudinal sections and symmetrical in basal/cross sections. Twins: Simple and lamellar twinning on {100} and {001} Uniaxial/Biaxial: Biaxial (+/-) Optic axial angle (2V): 2V measured: 54 – 90°, calculated: 58 – 86°",general PPL,
Actinolite ,"Relief: Moderate positive Habit/Form: Commonly as columnar, bladed, or acicular crystals elongate parallel to the c axis. Sometimes fibrous or asbestiform. Basal sections are diamond shaped and show the typical amphibole cleavage. Longitudinal sections (parallel to the c axis) are roughly rectangular and show only one cleavage trace. Color: Colorless to pale green; pale yellow, yellowish green, pale yellow-green, green, deep greenish-blue Pleochroism: Very low to moderate, related to iron content Cleavage: Good in two directions {110} – in two directions are at nearly obtuse angles (124° with 56°), and in one direction for longitudinal section. Sections parallel to (100) which display no cleavage since both cleavages are at too acute an angle to the section to be visible.",general PPL,http://microckscopic.ro/minerals/
Actinolite ,"Actinolite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II blue to order II green Extinction angle: Basal sections show symmetrical extinction. The extinction angle of 13 to 17° is seen in sections parallel to (010). In most cases, the extinction angle is between 14 and 25°. Twins: Simple and lamellar twins on {100} Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V measured: 79 – 86°, calculated: 78 – 82°",general XPL,http://microckscopic.ro/minerals/
Tremolite ,"Relief: Moderate positive Habit/Form: Commonly as columnar, bladed, or acicular crystals elongate parallel to the c axis. Sometimes fibrous or asbestiform. Basal sections are diamond shaped and show the typical amphibole cleavage. Longitudinal sections (parallel to the c axis) are roughly rectangular and show only one cleavage trace. Color: Colorless Pleochroism: Absent or very weak Cleavage: Good in two directions {110} – in two directions are at nearly obtuse angles (124° with 56°), and in one direction for longitudinal section. Sections parallel to (100) which display no cleavage since both cleavages are at too acute an angle to the section to be visible.",general PPL,http://microckscopic.ro/minerals/
Tremolite ,"Tremolite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II green Extinction angle: Basal sections show symmetrical extinction. The extinction angle of 17 to 21° is seen in sections parallel to (010). Sections parallel to (100) show parallel extinction. Extinction angles show a general decrease with increasing iron content (from tremolite to actinolite and finally to ferro-actinolite). Twins: Simple and lamellar twins on {100} Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V measured: 88 – 80°, calculated: 82 – 84°",general XPL,http://microckscopic.ro/minerals/
Hornblende,"Relief: High positive Habit/Form: Commonly found as slender prismatic to bladed crystals with a diamon-shaped cross section showing the amphibole cleavage at 56° and 124°. Also found as anhedral to strongly irregular grains, which in some cases may poikilitically enclose associated minerals. Large grains or fine fibrous masses of hornblende may mantle or replace pyroxene. Color: Green or brown of various tones Pleochroism: Very intense to absent Cleavage: Good in two directions {110} – in two directions are at nearly obtuse angles (124° with 56°), and in one direction for longitudinal section. Sections parallel to (100) which display no cleavage since both cleavages are at too acute an angle to the section to be visible.",general PPL,http://microckscopic.ro/minerals/
Hornblende,"Hornblende XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II green; bluish near extinction. Extinction angle: The maximum extinction angle in longitudinal sections varies from about 12° to about 34°. In cross sections the extinction is symmetrical to the outlines or to cleavage traces. Twins: Simple and lamellar twins on {100} Uniaxial/Biaxial: Biaxial (+/-) Optic axial angle (2V): 2V measured: 12 – 76°, calculated 30 – 62°",general XPL,http://microckscopic.ro/minerals/
Kyanite,"Relief: High positive Habit/Form: Kyanite commonly forms elongate bladed or columnar crystals that may appear to be bent. It is rarely fibrous. Color: Colorless to pale blue; violet blue (thick section), cobalt blue (thick section) Pleochroism: None to weak (violet-blue, deep cobalt blue). Cleavage: Perfect parallel to {100}, less perfect parallel to {010}, also cross parting {001} at angles of 85° with the length of the crystals.",general PPL,http://microckscopic.ro/minerals/
Kyanite,"Isotropy/Anisotropy: Anisotropic Interference color: Order I white and yellow to order I red Extinction angle: Inclined; bladed crystals display 0-30° extinction. Angle on {100} is about 30° with the length of the crystals. In other sections parallel to the c axis the extinction angle is small (5-8&deg), sometimes practically zero. In cross sections the extinction is parallel to almost parallel. Twins: Twinning is frequent; there are two common twin-laws (simple or polysynthetic): (1) {100} = multiple twinning as normal or parallel twins, (2) {001} = lamellar twins on {001} may be the result of shear pressure. Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V measured: 82 – 83°, calculated: 84°",general XPL,http://microckscopic.ro/minerals/
Sillimanite,"Relief: Moderate-High positive Habit/Form: Sillimanite commonly occurs as slender prismatic crystals or as fine fibrous crystals called fibrolite. Fibrolite commonly forms radiating, swirled, or matted aggregates. Cross sections through crystals are usually more or less diamond shaped. Color: Usually is colorless; sometimes may be pale brown, pale yellow, brown, green, dark brown, blue Pleochroism: None; sometimes weak to moderate Cleavage: Parallel to {010} but not always noticed in sections. Transverse fractures are common.",general PPL,http://microckscopic.ro/minerals/
Sillimanite,"Isotropy/Anisotropy: Anisotropic Interference color: Order I red to order II green; bright Extinction angle: Parallel / 0° / straight in longitudinal sections and symmetrical in cross sections. Twins: Absent Uniaxial/Biaxial: Biaxial (+) Optic axial angle (2V): 2V measured: 20 – 30°, calculated: 30 – 80°",general XPL,http://microckscopic.ro/minerals/
Titanite,"Relief: Very High positive Habit/Form: Euhedral to subhedral grains with a wedge- or diamond-shaped cross section are common, as are rounded or irregular anhedral grains. Radioactive varieties may form pleochroic halos in enclosing biotite, chlorite, or hornblende. Color: Almost colorless to neutral; tan-brown color or yellow-brown Pleochroism: Absent to weak Cleavage: Sphene often has prominent parting (parallel to 221). These parting directions are not parallel to the crystal outlines.",general PPL,http://microckscopic.ro/minerals/
Titanite,"Isotropy/Anisotropy: Anisotropic Interference color: High-order cream, pearl-gray; or anomalous blue/brown Extinction angle: Rhombic/diamond sections have symmetrical extinction. Maximum extinction to cleavage traces is 36° to 45°. Twins: Simple twinning on {100} is common, dividing diamond sections near the long diagonal. Multiple twinning is rare on {221}. Uniaxial/Biaxial: Biaxial (+) Optic axial angle (2V): 2V measured: 17 – 40°, calculated: 68 – 82°",general XPL,http://microckscopic.ro/minerals/
Zircone,"Relief: Very High positive Habit/Form: Zircon commonly occurs a euhedral to subhedral tetragonal crystals with pyramidal terminations. It is not uncommon for euhedral overgrowths to be developed on rounded or subhedral cores. As detrital particles, zircon ranges from euhedral to rounded, depending on the amount of transport. Complex forms are known by relatively rare. Color: Colorless (usually), to pale brown, pale yellow, or gray. Pleochroism: Absent to weak Cleavage: Absent",general PPL,http://microckscopic.ro/minerals/
Zircone,Isotropy/Anisotropy: Anisotropic Interference color: Order III-IV; bright; detrital grains commonly show high-grade white Extinction angle: Parallel / 0° / straight to crystal outlines Twins: Absent Uniaxial/Biaxial: Uniaxial (+) (anomalous Isotropic) Optic axial angle (2V): –,general XPL,http://microckscopic.ro/minerals/
Staurolite,"Staurolite PPL properties Relief: High positive Habit/Form: Crystals are usually prismatic and elongate parallel to the c axis. Basal sections are usually six sided with the {110} prism faces dominant. Penetration twins forming a cross at either 90° or about 60° are common but may not be obvious in thin sections. It also forms anhedral masses. Porphyroblasts in metamorphic rocks commonly are riddled with numerous rounded inclusions of quartz or other minerals. Color: Colorless to honey/golden-yellow; pale yellow-green (Cr), pale green (Cr), cobalt blue (Co), pale yellow, pale yellow-green (Cr), pale green (Cr), violet-blue (Co), yellow-green (Cr), green (Cr), violet (Co) Pleochroism: Weak to moderate, from colorless to honey/golden yellow Cleavage: Weak cleavage trace parallel to {010}.",general PPL,http://microckscopic.ro/minerals/
Staurolite,"Staurolite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray, white or yellow – usually showing as yellow, due to inherent mineral color; the maximum interference color is first-order yellow to red. Extinction angle: Parallel in most sections – to prismatic sections and cleavage traces; symmetrical extinction to {110} faces in basal sections. Twins: Can show twins oriented at 60° or 90°. Twinning is rarely noted in thin sections. Uniaxial/Biaxial: Biaxial (+) Optic axial angle (2V): 2V measured: 88°, calculated: 84 – 88°",general XPL,http://microckscopic.ro/minerals/
Olivine,"Olivine PPL properties Relief: Very High – High positive Habit/Form: In most metamorphic and intrusive igneous rocks, olivine tends to form subequant, anhedral grains or aggregates of grains. Euhedral crystals are more common in volcanic rocks and sections usually are equidimensional, or slighly elongate parallel to c with six or eight sides. Color: Colorless (Forsterite or Mg-member) to pale yellow, yellow-orange, reddish brown (in the case of Fayalite, Fe-member) Pleochroism: Absent; Fayalite (Fe-member) can show weak-moderate pleochroism (orange yellow to reddish brown color). Cleavage: Imperfect after {010} and {110}; irregular fractures are common.",general PPL,http://microckscopic.ro/minerals/
Olivine,"Olivine XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II-III; bright Extinction angle: Parallel / 0° / straight to crystal outlines and cleavage traces. Twins: Absent Uniaxial/Biaxial: Biaxial (+/-) Optic axial angle (2V): Forsterite 2V measured: 74 – 90°, calculated: 56 – 84° Fayalite 2V 134°",general XPL,http://microckscopic.ro/minerals/
Chalcedony,"Chalcedony PPL properties Relief: Low positive Habit/Form: The quartz fibers that make up chalcedony are typically aligned in a parallel or spherulitic fashion and have a feathery appearance. Chalcedony may form the cement in clastic sediments or may form colloform or encrusting masses. The fibers are usually elongate perpendicular to the c axis along one of the a crystal axes, and are twisted. Fibers elongate parallel to the c axis also are occasionally observed. Color: Colorless to pale brown; may be almost opaque due to finely disseminated oxides Pleochroism: – Cleavage: –",general PPL,http://microckscopic.ro/minerals/
Chalcedony,"Chalcedony XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray and white; some chert may be sensibly isotropic, due to extremely fine grain size. Extinction angle: Extinction is parallel, but fibers are sometimes twisted causing only sections of the fibers to be extinct at any one time. Twins: The variety often shows a radial or mosaic structure between crossed polars, where fibrous the extinction is parallel to the length of the fibers. Uniaxial/Biaxial: Uniaxial (+) Optic axial angle (2V): –",general XPL,http://microckscopic.ro/minerals/
Microcline,"Microcline PPL properties Relief: Low negative Habit/Form: It is commonly found as anhedral and euhedral grains in many igneous and metamorphic rocks. Crystals are roughly tabular parallel to (010) and elongate parallel to the c or a axis. Exsolved albite may form lamellae, irregular ribbons, and blebs to form perthite. Color: Colorless, frequently cloudy due to incipient alteration Pleochroism: – Cleavage: Sometimes after 1 or 2 directions; but are difficult to see in thin section due to very low relief; perfect on {001} and good/distinct on {010}, intersecting essentially at right angles; {110} cleavage is poor.",general PPL,http://microckscopic.ro/minerals/
Microcline,"Microcline XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray to white; feldspars are very useful in determining the thickness of any slide in which it occurs. Extinction angle: The extinction angle on (001) = 15-20° and 5° to {001} cleavage traces. Twins: Tartan twin. Microcline is often characterized by a distinctive plaid (cross-hatched) twinning (also known as tartan twinning), giving a zebra stripe appearance. This type is also called gridiron or quadrille structure, the two sets or lamellae being at right angles. The twin lamellae are usually spindle shaped and the extinction usually wavy. Tartan/gridlike/quadrille/gridiron twinning pattern is, undoubtedly, the most characteristic feature of microcline. The lamellae may be very fine, and the result is an uneven extinction (moire effect). Highest magnification may be necessary to resolve the twinning. The tartan twinning is a double set of polysynthetic twins according to albite and pericline laws. Grid twinning indicates that the mineral originally crystallized at high temperature, with monoclinic symmetry, and subsequently inverted to the triclinic polymorph. Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V measured: 66 – 103°, calculated: 80°",general XPL,http://microckscopic.ro/minerals/
Orthoclase,"Orthoclase PPL properties Relief: Low negative Habit/Form: Common as anhedral and euhedral grains in igneous rocks. Crystals are commonly elongated parallel to c or a, and roughly tabular parallel to (010). Some orthoclase is perthitic, and much of it is cryptoperthitic. Color: Colorless, frequently cloudy due to incipient alteration (kaolinization) Pleochroism: – Cleavage: Sometimes after 1 or 2 directions; but are difficult to see in thin section due to very low relief; perfect on {001} and good/distinct on {010}, intersecting essentially at right angles; {110} cleavage is poor.",general PPL,http://microckscopic.ro/minerals/
Orthoclase,"Orthoclase XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray to white; feldspars are very useful in determining the thickness of any slide in which it occurs. Extinction angle: On (001) parallel, on (010) from 5° to 12°, increasing with the Na content (to 20°). Twins: Carlsbad twinning with two individuals is common (simple lamellar twinning). Manebach and Braveno types are less common. Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V measured: 35 – 75°, calculated: 52 – 70°",general XPL,http://microckscopic.ro/minerals/
Plagioclase,"Plagioclase PPL properties Relief: Low-moderate negative/positive (Albite-Anorthite series) Habit/Form: Plagioclase commonly occurs both as euhedral and anhedral grains. Crystals are usually tabular parallel to (010) and elongate parallel to the c or a axis. Cross sections are more or less rectangular. Color: Colorless, frequently cloudy due to incipient alteration Pleochroism: – Cleavage: Sometimes after 1 or 2 directions; but are difficult to see in thin section due to very low relief; perfect on {001} and good/distinct on {010}, intersecting essentially at right angles.",general PPL,http://microckscopic.ro/minerals/
Plagioclase,"Plagioclase XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray to white; feldspars are very useful in determining the thickness of any slide in which it occurs. Extinction angle: The extinction is inclined in almost all orientations. Twins: Is often characterized by a distinctive polysynthetic twinning (it looks like jail bars |||| ?? ), and it’s called ‘Albite law’ or ‘chessboard’ albite; and contains alternating twin lamellae somewhat like the pattern of squares on a chessboard, except the units tend to be elongate and lath shaped rather than square. Also, Albite-Anorthite series (plagioclase) is characterized by a distinctive zoned structure. This chemical zoning is common, particularly in volcanic and hypabyssal intrusive rocks, and is expressed as a variation in the extinction angle from one zone to another. The zoning is considered normal if it changes smoothly from a more calcic core to a more sodic rim. The core usually has a larger extinction angle. Reverse zoning is just the opposite. Oscillatory zoning shows alternation between calcic and sodic zones, but the overall trend is usually from a more calcic core to a more sodic rim. The combination of polysynthetic twinning and zoned structure are very common. Uniaxial/Biaxial: Biaxial (+/-) Optic axial angle (2V): “Albite 2V measured: 45°, calculated: 76 – 82° Anorthite 2V measured: 78 – 83°, calculated: 78°”",general XPL,http://microckscopic.ro/minerals/
Talc,"Talc PPL properties Relief: Low-Moderate positive Habit/Form: Talc is common as foliated, radiating, or randomly oriented aggregates of irregular flakes or fibers resembling the micas. Individual grains may be bent. Color: Colorless Pleochroism: – Cleavage: Perfect basal cleavage {001} fails to produce extensive flat surfaces, due to bent and contorted sheets.",general PPL,http://microckscopic.ro/minerals/
Talc,Talc XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order III yellow Extinction angle: 0 – 3° Twins: Absent Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V 0 – 30°,general XPL,http://microckscopic.ro/minerals/
Serpentine,"Serpentine PPL properties Relief: Low-Moderate positive Habit/Form: Fibrous serpentine is typically chrysotile and it commonly forms veins with fibers across the width or matted masses. Lizardite is commonly very fine-grained and may form an irregular net-like pattern with uneven or undulatory extinction. Antigorite is often more or less micaceous and may form foliated or scaly masses. However, different varieties may be intergrown, and habit is not always a reliable guide to variety. Serpentine is typically produced as a consequence of alteration of minerals such as olivine and pyroxene, and remnants of those minerals are commonly found within masses of fine-grained serpentine. Greenalite, berthierine, and amesite typically form very fine-grained aggregates that are colorless to light green and are less common as folia resembling chlorite. Color: Colorless to pale green Pleochroism: Absent to weak Cleavage: Perfect basal cleavage {001} is characteristic of all sheet silicates. Antigorite, commonly shows characteristic foliation.",general PPL,http://microckscopic.ro/minerals/
Serpentine,Serpentine XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray to pale yellow or pale olive Extinction angle: Parallel / 0° / straight to the length of crystals/fibers Twins: Absent Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): –,general XPL,http://microckscopic.ro/minerals/
Muscovite,"Muscovite PPL properties Relief: Moderate positive Habit/Form: Well-formed tabular crystals with a roughly hexagonal outline are rare. Usually found as micaceous flakes or tablets with irregular outlines, tabular parallel to {001}. Sericite is name given to very fine, ragged grains and aggregates of white mica – usually muscovite – produced by the alteration of feldspars or other minerals. Included grains of zircon or other radioactive minerals may form pale pleochroic halos in surrounding muscovite. Color: Colorless; pale yellow (Fe), pale green (Fe), pale red (Mn), pale blue-green (Cr) Pleochroism: Absent; can be weakly pleochroic; Fuchsite is pleochroic in greens. Cleavage: Very perfect in one direction {001}; in basal sections (z-axis) has no cleavage.",general PPL,http://microckscopic.ro/minerals/
Muscovite,"Muscovite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II-III brilliant; basal sections show only weak birefringence. Extinction angle: 0 – 3° (bird’s eye extinction) Twins: Twin-plane {110} may be present. Uniaxial/Biaxial: Biaxial (-) (anomalous Uniaxial-) Optic axial angle (2V): 2V measured: 30 – 47°, calculated: 38 – 42°",general XPL,http://microckscopic.ro/minerals/
Sericite,"Sericite PPL properties Relief: Low-Moderate positive Habit/Form: Well-formed tabular crystals with a roughly hexagonal outline are rare. Usually found as micaceous flakes or tablets with irregular outlines, tabular parallel to {001}. Sericite is name given to very fine, ragged grains and aggregates of white mica – usually muscovite – produced by the alteration of feldspars or other minerals. Included grains of zircon or other radioactive minerals may form pale pleochroic halos in surrounding muscovite. Color: Colorless Pleochroism: – Cleavage: Perfect in one direction {001}; in basal sections (z-axis) has no cleavage.",general PPL,http://microckscopic.ro/minerals/
Sericite,Sericite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II – III Extinction angle: 0 – 3° (bird’s eye extinction) Twins: Absent Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V 28 – 47°,general XPL,http://microckscopic.ro/minerals/
Bastite,"Bastite PPL properties Relief: Low positive Habit/Form: Can occur together with lizardite, which can form oriented pseudomorphs after orthopyroxene (bastite). Color: Colorless to pale green Pleochroism: Absent to weak Cleavage: Perfect basal cleavage {001}",general PPL,http://microckscopic.ro/minerals/
Bastite,Bastite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray Extinction angle: Parallel / 0° / straight to the length of crystals/fibers Twins: Absent Uniaxial/Biaxial: Biaxial (-) Optic axial angle (2V): 2V 53 -125°,general XPL,http://microckscopic.ro/minerals/
biotite,"Biotite PPL properties Relief: Moderate positive Habit/Form: Euhedral crystals are not uncommon, are usually tabular parallel to (001), and have a roughly hexagonal cross section. Also found as micaceous or tabular grains, or grains with irregular outline. Grains may be bent, particularly in metamorphic rocks. Color: Typically brown, brownish green to olive green (due to Fe2+ content) or reddish brown (due to Ti and Fe3+ content). Other colors: gray-yellow, yellow-brown, orange-brown, dark brown, dark green, dark red-brown Pleochroism: Intense; absent in basal section. The absorption is stronger when the cleavage traces are parallel to the vibration plane of the lower nicol. Cleavage: Very perfect in one direction {001}; in basal sections (z-axis) has no cleavage.",general PPL,http://microckscopic.ro/minerals/
biotite,Biotite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order II-III bright Extinction angle: 0 – 3° (bird’s eye extinction) Twins: Twin-plane {110} may be present. Uniaxial/Biaxial: Biaxial (-) (anomalous Uniaxial-) Optic axial angle (2V): 2V 0 – 25°,general XPL,http://microckscopic.ro/minerals/
Spodumene,"Spodumene PPL properties Relief: Moderate-High positive Habit/Form: Crystals are prismatic with roughly octagonal cross sections that show both cleavages intersecting at about 87°. Also as lathlike acicular crystals and cleavable masses. Because spodumene is usually found in pegmatites, its crystals may be far larger than normal in thin sections. Color: Colorless; rare pale green. Pale pink (kunzite) and pale green (hiddenite) varieties are rare. Pleochroism: None to weak (green or lilac) Cleavage: Good in two directions {110} (at right angles to the c-axis – on (001)) – the clivage angle in two directions are at nearly right angles 87° and 93°. Prismatic sections parallel to (100) or (010) to which both cleavages are at too acute an angle to be always visible, especially in slightly thick sections.",general PPL,http://microckscopic.ro/minerals/
Spodumene,"Spodumene XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I red Extinction angle: The maximum extinction angle in longitudinal sections varies from 20° to 27°. In cross sections the extinction is parallel or symmetrical. Oriented sections cut parallel to the (100) parting have parallel extinction. Twins: Twins with {100} as twin-plane are known. Uniaxial/Biaxial: Biaxial (+) Optic axial angle (2V): 2V measured: 54 – 69°, calculated: 88°",general XPL,http://microckscopic.ro/minerals/
Apatite,"Apatite PPL properties Relief: Moderate positive Habit/Form: Apatite forms small euhedral to subhedral elongate prismatic crystals with hexagonal cross sections. Longitudinal sections through the crystals are usually elongate-rectangular in outline with the poor cleavage cutting across the length. Also found as anhedral grains, and granular or columnar aggregates. Collophane (fine-grained cryptocrystalline material that contains a substantial amount of apatite) is usually brown and essentially isotropic; forms colloform, encrusting, spherulitic, oolitic, and related structures; and is a major constituent of some fossil bone. Color: Colorless; detrital crystals may be pale green or exhibit pleochroic purple centers Pleochroism: Absent to weak – moderate Cleavage: Imperfect basal {0001} shown as cross fractures. Larger crystals may show imperfect cleavage parallel to the length {1010}.",general PPL,http://microckscopic.ro/minerals/
Apatite,"Apatite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I (black, gray to white). Cross sections are dark between crossed polars. Extinction angle: Parallel / 0° / straight Twins: Apatite twins are rare. Uniaxial/Biaxial: Uniaxial (-) Optic axial angle (2V): –",general XPL,http://microckscopic.ro/minerals/
